ITEM,TITLE,seriesid,DATA_TYPE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SEFS,Fats and oils,CWSR0000SEFS,SEASONAL FACTOR,2014,100.6,100.373,99.763,99.627,99.855,99.669,100.022,100.28,100.482,100.702,99.221,99.489
SEFS,Fats and oils,CWSR0000SEFS,SEASONAL FACTOR,2015,100.407,100.367,99.705,99.671,99.874,99.7,100.17,100.281,100.595,100.762,99.112,99.382
SEFS,Fats and oils,CWSR0000SEFS,SEASONAL FACTOR,2016,100.231,100.356,99.675,99.749,99.913,99.749,100.324,100.285,100.658,100.755,98.979,99.278
SEFS,Fats and oils,CWSR0000SEFS,SEASONAL FACTOR,2017,100.098,100.359,99.702,99.837,99.958,99.782,100.439,100.289,100.694,100.69,98.893,99.187
SEFS,Fats and oils,CWSR0000SEFS,SEASONAL FACTOR,2018,100.029,100.349,99.735,99.911,100.016,99.805,100.51,100.297,100.688,100.626,98.849,99.125
SEFS,Fats and oils,CWSR0000SEFS,UNADJUSTED INDEX,2014,229.864,229.96,230.44,228.171,229.636,229.526,231.581,232.383,233.51,234.357,229.712,229.186
SEFS,Fats and oils,CWSR0000SEFS,UNADJUSTED INDEX,2015,230.876,230.276,227.447,227.083,227.123,227.06,226.186,228.074,228.98,230.874,225.8,227.557
SEFS,Fats and oils,CWSR0000SEFS,UNADJUSTED INDEX,2016,229.157,229.1,227.478,228.289,226.668,226.209,226.756,226.425,227.594,227.022,220.534,223.733
SEFS,Fats and oils,CWSR0000SEFS,UNADJUSTED INDEX,2017,225.201,226.69,227.584,227.389,229.088,228.605,230.977,229.391,230.464,230.339,226.191,226.751
SEFS,Fats and oils,CWSR0000SEFS,UNADJUSTED INDEX,2018,228.879,230.4,228.255,229.588,228.426,227.628,229.709,229.252,229.811,229.542,226.079,226.237
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONALLY ADJUSTED INDEX,2014,185.721,187.176,192.732,191.905,194.427,196.555,199.126,200.809,202.306,208.515,207.384,204.392
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONALLY ADJUSTED INDEX,2015,201.489,199.367,195.375,196.288,194.749,196.27,195.71,198.095,199.487,207.498,202.93,204.902
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONALLY ADJUSTED INDEX,2016,203.047,202.921,201.957,203.137,196.808,201.477,201.542,201.476,200.496,199.992,198.291,197.368
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONALLY ADJUSTED INDEX,2017,200.298,202.526,205.169,204.506,205.746,203.886,206.328,207.617,205.719,204.74,204.572,205.208
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONALLY ADJUSTED INDEX,2018,205.993,205.13,205.002,207.838,205.331,205.262,205.75,203.566,204.909,204.951,206.836,206.071
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONAL FACTOR,2014,100.934,100.172,99.314,98.517,99.674,99.405,100.038,100.921,101.787,101.17,98.993,99.123
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONAL FACTOR,2015,100.978,100.111,99.183,98.629,99.514,99.417,100.189,100.996,101.834,101.174,98.898,99.029
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONAL FACTOR,2016,100.976,100.047,99.145,98.747,99.435,99.441,100.425,101.096,101.813,101.147,98.733,98.809
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONAL FACTOR,2017,100.992,100.019,99.135,98.881,99.462,99.471,100.684,101.129,101.784,101.092,98.609,98.512
SEFS01,Butter and margarine,CWSR0000SEFS01,SEASONAL FACTOR,2018,100.967,100.043,99.178,98.988,99.545,99.532,100.851,101.141,101.749,101.005,98.513,98.277
SEFS01,Butter and margarine,CWSR0000SEFS01,UNADJUSTED INDEX,2014,187.456,187.498,191.409,189.06,193.793,195.385,199.202,202.659,205.922,210.955,205.296,202.599
SEFS01,Butter and margarine,CWSR0000SEFS01,UNADJUSTED INDEX,2015,203.459,199.587,193.78,193.597,193.802,195.125,196.081,200.068,203.147,209.934,200.695,202.912
SEFS01,Butter and margarine,CWSR0000SEFS01,UNADJUSTED INDEX,2016,205.028,203.016,200.231,200.592,195.697,200.352,202.399,203.685,204.131,202.287,195.778,195.018
SEFS01,Butter and margarine,CWSR0000SEFS01,UNADJUSTED INDEX,2017,202.284,202.564,203.395,202.217,204.638,202.808,207.74,209.961,209.389,206.977,201.727,202.154
SEFS01,Butter and margarine,CWSR0000SEFS01,UNADJUSTED INDEX,2018,207.986,205.218,203.317,205.735,204.396,204.301,207.501,205.888,208.494,207.01,203.76,202.52
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONALLY ADJUSTED INDEX,2014,134.111,134.769,133.842,133.823,131.339,132.09,132.259,131.768,131.776,131.315,130.65,130.18
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONALLY ADJUSTED INDEX,2015,131.712,132.34,132.062,131.833,132.28,131.986,130.846,131.585,131.505,132.258,131.989,132.387
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONALLY ADJUSTED INDEX,2016,132.016,131.742,131.716,132.473,131.377,131.39,131.871,130.529,130.804,130,126.648,130.292
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONALLY ADJUSTED INDEX,2017,130.048,129.647,131.103,128.282,131.027,131.235,132.805,130.434,129.943,129.329,128.615,128.336
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONALLY ADJUSTED INDEX,2018,128.447,129.338,128.974,128.705,128.609,128.077,128.712,130.349,129.679,130.115,130.648,130.416
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONAL FACTOR,2014,100.275,100.598,100.098,99.951,99.273,98.652,99.335,99.494,100.306,101.181,99.873,100.778
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONAL FACTOR,2015,100.125,100.738,100.105,100.037,99.378,98.632,99.583,99.516,100.436,101.124,99.527,100.61
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONAL FACTOR,2016,99.957,100.845,100.18,100.075,99.485,98.651,99.748,99.586,100.521,101.111,99.276,100.442
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONAL FACTOR,2017,99.811,100.877,100.28,100.112,99.567,98.601,99.937,99.628,100.59,101.063,99.128,100.342
SEFS02,Salad dressing,CWSR0000SEFS02,SEASONAL FACTOR,2018,99.748,100.874,100.348,100.077,99.609,98.591,100.042,99.696,100.617,101.042,99.056,100.289
SEFS02,Salad dressing,CWSR0000SEFS02,UNADJUSTED INDEX,2014,134.48,135.575,133.973,133.757,130.385,130.31,131.38,131.102,132.18,132.865,130.484,131.192
SEFS02,Salad dressing,CWSR0000SEFS02,UNADJUSTED INDEX,2015,131.877,133.316,132.201,131.882,131.457,130.181,130.301,130.949,132.079,133.744,131.364,133.195
SEFS02,Salad dressing,CWSR0000SEFS02,UNADJUSTED INDEX,2016,131.959,132.855,131.954,132.573,130.701,129.618,131.538,129.989,131.485,131.445,125.731,130.868
SEFS02,Salad dressing,CWSR0000SEFS02,UNADJUSTED INDEX,2017,129.802,130.783,131.47,128.425,130.46,129.399,132.721,129.949,130.71,130.704,127.493,128.774
SEFS02,Salad dressing,CWSR0000SEFS02,UNADJUSTED INDEX,2018,128.123,130.468,129.423,128.804,128.106,126.273,128.766,129.953,130.479,131.471,129.414,130.794
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONALLY ADJUSTED INDEX,2014,168.457,167.563,167.548,165.212,167.167,166.497,167.63,167.25,166.985,165.843,164.901,164.482
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONALLY ADJUSTED INDEX,2015,164.286,163.943,163.341,162.54,162.669,162.939,161.667,162.042,161.427,160.329,160.564,160.658
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONALLY ADJUSTED INDEX,2016,161.113,160.889,160.679,160.497,161.563,159.41,158.652,158.473,159.241,159.508,158.568,160.217
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONALLY ADJUSTED INDEX,2017,158.103,158.772,159.754,160.924,161.09,161.853,161.595,160.061,161.574,162.595,163.108,162.657
